Drug1,Drug2,Cell_line,Loewe
DB00188,DB00307,ACH-000810,-19.99
DB00188,DB00307,ACH-000915,-12.98
DB00188,DB00307,ACH-000968,-25.79
DB00188,DB00307,ACH-000987,-29.58
DB00188,DB00307,ACH-001190,-17.03
DB00188,DB00317,ACH-000001,-1.2
DB00188,DB00317,ACH-000002,-6.49
DB00188,DB00317,ACH-000028,0.47
DB00188,DB00317,ACH-000044,13.9
DB00188,DB00317,ACH-000046,2.09
DB00188,DB00317,ACH-000090,-0.33
DB00188,DB00317,ACH-000097,-9.47
DB00188,DB00317,ACH-000232,-2.49
DB00188,DB00317,ACH-000273,-0.01
DB00188,DB00317,ACH-000277,-3.56
DB00188,DB00317,ACH-000288,-2.28
DB00188,DB00317,ACH-000349,33.47
DB00188,DB00317,ACH-000367,7.76
DB00188,DB00317,ACH-000425,0.32
DB00188,DB00317,ACH-000433,-0.73
DB00188,DB00317,ACH-000463,-4.43
DB00188,DB00317,ACH-000477,-5.48
DB00188,DB00317,ACH-000504,0.23
DB00188,DB00317,ACH-000551,0.25
DB00188,DB00317,ACH-000552,0.94
DB00188,DB00317,ACH-000555,-2.38
DB00188,DB00317,ACH-000568,-0.19
DB00188,DB00317,ACH-000579,0.55
DB00188,DB00317,ACH-000615,-2.81
DB00188,DB00317,ACH-000617,1.52
DB00188,DB00317,ACH-000651,-9.29
DB00188,DB00317,ACH-000655,1.36
DB00188,DB00317,ACH-000696,-1.22
DB00188,DB00317,ACH-000706,-1.11
DB00188,DB00317,ACH-000730,-3.41
DB00188,DB00317,ACH-000750,-2
DB00188,DB00317,ACH-000759,0.28
DB00188,DB00317,ACH-000768,-2.1
DB00188,DB00317,ACH-000783,-2.1
DB00188,DB00317,ACH-000811,0.08
DB00188,DB00317,ACH-000825,-3.4
DB00188,DB00317,ACH-000849,-2.39
DB00188,DB00317,ACH-000861,-1.82
DB00188,DB00317,ACH-000927,-0.24
DB00188,DB00317,ACH-000934,-2.21
DB00188,DB00317,ACH-000969,-4.89
DB00188,DB00317,ACH-000971,-5.17
DB00188,DB00317,ACH-000997,-4.65
DB00188,DB00317,ACH-001151,1.35
DB00188,DB00322,ACH-000002,-10.89
DB00188,DB00322,ACH-000019,-2.46
DB00188,DB00322,ACH-000046,-5.8
DB00188,DB00322,ACH-000090,-8.79
DB00188,DB00322,ACH-000148,-12.54
DB00188,DB00322,ACH-000288,-0.32
DB00188,DB00322,ACH-000343,-7.25
DB00188,DB00322,ACH-000367,-21.74
DB00188,DB00322,ACH-000376,-7.75
DB00188,DB00322,ACH-000425,-4.66
DB00188,DB00322,ACH-000428,-14.78
DB00188,DB00322,ACH-000433,-5.36
DB00188,DB00322,ACH-000477,-0.3
DB00188,DB00322,ACH-000552,-2.26
DB00188,DB00322,ACH-000555,-4.68
DB00188,DB00322,ACH-000579,-1.88
DB00188,DB00322,ACH-000615,-5.83
DB00188,DB00322,ACH-000617,-1.8
DB00188,DB00322,ACH-000649,-3.74
DB00188,DB00322,ACH-000651,-3.42
DB00188,DB00322,ACH-000655,-5.95
DB00188,DB00322,ACH-000696,-0.21
DB00188,DB00322,ACH-000706,0.39
DB00188,DB00322,ACH-000750,-6.18
DB00188,DB00322,ACH-000768,-6.27
DB00188,DB00322,ACH-000811,-10.68
DB00188,DB00322,ACH-000825,-3.42
DB00188,DB00322,ACH-000861,-2.86
DB00188,DB00322,ACH-000900,-6.74
DB00188,DB00322,ACH-000966,1.02
DB00188,DB00322,ACH-000969,-12.47
DB00188,DB00322,ACH-000997,-13.47
DB00188,DB00322,ACH-001151,-3.03
DB00188,DB00331,ACH-000001,-27.2275
DB00188,DB00331,ACH-000028,-33.2475
DB00188,DB00331,ACH-000035,-15.24
DB00188,DB00331,ACH-000097,-12.9825
DB00188,DB00331,ACH-000202,-66.64
DB00188,DB00331,ACH-000219,-8.675
DB00188,DB00331,ACH-000311,-39.1925
DB00188,DB00331,ACH-000395,-15.8275
DB00188,DB00331,ACH-000421,-23.8125
DB00188,DB00331,ACH-000425,-22.18
DB00188,DB00331,ACH-000463,-18.075
DB00188,DB00331,ACH-000552,-8.21
DB00188,DB00331,ACH-000573,-51.335
DB00188,DB00331,ACH-000657,-43.1825
DB00188,DB00331,ACH-000665,-16.845
DB00188,DB00331,ACH-000713,-23.18
DB00188,DB00331,ACH-000757,-7.3825
DB00188,DB00331,ACH-000810,-25.725
DB00188,DB00331,ACH-000811,-48.33
DB00188,DB00331,ACH-000900,-5.1225
DB00188,DB00331,ACH-000906,-26.935
DB00188,DB00331,ACH-001374,-19.835
DB00188,DB00361,ACH-000001,-4.9325
DB00188,DB00361,ACH-000028,-3.83
DB00188,DB00361,ACH-000035,-8.4525
DB00188,DB00361,ACH-000202,-10.2475
DB00188,DB00361,ACH-000291,-2.95
DB00188,DB00361,ACH-000311,-2.9575
DB00188,DB00361,ACH-000395,-3.605
DB00188,DB00361,ACH-000425,-5.39
DB00188,DB00361,ACH-000573,-5.7975
DB00188,DB00361,ACH-000651,-1.8
DB00188,DB00361,ACH-000657,2.25
DB00188,DB00361,ACH-000713,-9.0325
DB00188,DB00361,ACH-000757,-5.42
DB00188,DB00361,ACH-000788,-4.685
DB00188,DB00361,ACH-000906,-3.365
DB00188,DB00361,ACH-000943,-3.3525
DB00188,DB00361,ACH-000950,-1.76
DB00188,DB00361,ACH-001061,-5.8775
DB00188,DB00361,ACH-001374,-7.54
DB00188,DB00361,ACH-001418,1.49
DB00188,DB00380,ACH-000001,-7.94
DB00188,DB00380,ACH-000002,9.68
DB00188,DB00380,ACH-000046,1.18
DB00188,DB00380,ACH-000090,0.98
DB00188,DB00380,ACH-000147,-5.97
DB00188,DB00380,ACH-000148,-6.14
DB00188,DB00380,ACH-000232,11.05
DB00188,DB00380,ACH-000273,1.18
DB00188,DB00380,ACH-000288,-0.94
DB00188,DB00380,ACH-000343,-0.89
DB00188,DB00380,ACH-000367,3.94
DB00188,DB00380,ACH-000376,5.35
DB00188,DB00380,ACH-000425,-1.8
DB00188,DB00380,ACH-000428,0.91
DB00188,DB00380,ACH-000433,-0.25
DB00188,DB00380,ACH-000463,-0.34
DB00188,DB00380,ACH-000477,-5.74
DB00188,DB00380,ACH-000504,0.39
DB00188,DB00380,ACH-000551,1.95
DB00188,DB00380,ACH-000552,3.69
DB00188,DB00380,ACH-000555,-4.27
DB00188,DB00380,ACH-000579,2.43
DB00188,DB00380,ACH-000617,2.42
DB00188,DB00380,ACH-000649,-4.07
DB00188,DB00380,ACH-000651,-5.18
DB00188,DB00380,ACH-000655,6.26
DB00188,DB00380,ACH-000696,-0.64
DB00188,DB00380,ACH-000706,-1.08
DB00188,DB00380,ACH-000750,2.69
DB00188,DB00380,ACH-000768,-2.49
DB00188,DB00380,ACH-000811,-0.92
DB00188,DB00380,ACH-000825,1.98
DB00188,DB00380,ACH-000849,-4.48
DB00188,DB00380,ACH-000900,1.37
DB00188,DB00380,ACH-000966,-0.48
DB00188,DB00380,ACH-000969,2.72
DB00188,DB00380,ACH-000971,-0.81
DB00188,DB00380,ACH-001151,-1.8
DB00188,DB00385,ACH-000002,2.87
DB00188,DB00385,ACH-000019,-8.32
DB00188,DB00385,ACH-000046,-1.44
DB00188,DB00385,ACH-000090,-10.29
DB00188,DB00385,ACH-000147,-11.55
DB00188,DB00385,ACH-000148,8.84
DB00188,DB00385,ACH-000232,1.23
DB00188,DB00385,ACH-000273,3.11
DB00188,DB00385,ACH-000288,8.68
DB00188,DB00385,ACH-000343,3.64
DB00188,DB00385,ACH-000367,-22.41
DB00188,DB00385,ACH-000376,-21.57
DB00188,DB00385,ACH-000425,5.53
DB00188,DB00385,ACH-000428,-24.98
DB00188,DB00385,ACH-000433,-9.28
DB00188,DB00385,ACH-000477,-6.85
DB00188,DB00385,ACH-000551,-25.29
DB00188,DB00385,ACH-000552,-0.17
DB00188,DB00385,ACH-000555,14.67
DB00188,DB00385,ACH-000579,16.18
DB00188,DB00385,ACH-000615,7.1
DB00188,DB00385,ACH-000617,-28.7
DB00188,DB00385,ACH-000649,8.71
DB00188,DB00385,ACH-000651,6.34
DB00188,DB00385,ACH-000655,7.41
DB00188,DB00385,ACH-000696,-18.2
DB00188,DB00385,ACH-000706,-14.38
DB00188,DB00385,ACH-000730,2.68
DB00188,DB00385,ACH-000750,2.63
DB00188,DB00385,ACH-000768,-0.41
DB00188,DB00385,ACH-000811,-4.23
DB00188,DB00385,ACH-000825,-3.85
DB00188,DB00385,ACH-000849,-5.75
DB00188,DB00385,ACH-000861,-1.17
DB00188,DB00385,ACH-000900,-14.97
DB00188,DB00385,ACH-000966,-38.09
DB00188,DB00385,ACH-000969,7.01
DB00188,DB00385,ACH-000997,-1.8
DB00188,DB00385,ACH-001151,2.65
DB00188,DB00398,ACH-000002,-68.42
DB00188,DB00398,ACH-000008,-10.49
DB00188,DB00398,ACH-000019,-33.87
DB00188,DB00398,ACH-000035,-9.455
DB00188,DB00398,ACH-000046,-67.42
DB00188,DB00398,ACH-000090,-63.88
DB00188,DB00398,ACH-000148,-66.56
DB00188,DB00398,ACH-000232,-41.1
DB00188,DB00398,ACH-000273,3.57
DB00188,DB00398,ACH-000288,-74.25
DB00188,DB00398,ACH-000291,-4.835
DB00188,DB00398,ACH-000304,-41.74
DB00188,DB00398,ACH-000343,-71.25
DB00188,DB00398,ACH-000348,-28.72
DB00188,DB00398,ACH-000367,-52.7
DB00188,DB00398,ACH-000376,-44.54
DB00188,DB00398,ACH-000401,-15.75
DB00188,DB00398,ACH-000425,-12.21
DB00188,DB00398,ACH-000433,-32.2
DB00188,DB00398,ACH-000504,-35.99
DB00188,DB00398,ACH-000551,-74.01
DB00188,DB00398,ACH-000552,-63.72
DB00188,DB00398,ACH-000555,-39.1
DB00188,DB00398,ACH-000572,14.65
DB00188,DB00398,ACH-000573,-14.5225
DB00188,DB00398,ACH-000614,-4.01
DB00188,DB00398,ACH-000615,-42.19
DB00188,DB00398,ACH-000617,-65.99
DB00188,DB00398,ACH-000644,-19.79
DB00188,DB00398,ACH-000649,-64.45
DB00188,DB00398,ACH-000655,-68.24
DB00188,DB00398,ACH-000657,-0.34
DB00188,DB00398,ACH-000681,-79.69
DB00188,DB00398,ACH-000706,-47.24
DB00188,DB00398,ACH-000713,-7.51
DB00188,DB00398,ACH-000730,-37.6
DB00188,DB00398,ACH-000750,-36.67
DB00188,DB00398,ACH-000768,-51.33
DB00188,DB00398,ACH-000825,-65.94
DB00188,DB00398,ACH-000849,-69.73
DB00188,DB00398,ACH-000861,-59.48
DB00188,DB00398,ACH-000900,-53.53
DB00188,DB00398,ACH-000915,-31.18
DB00188,DB00398,ACH-000968,-42.87
DB00188,DB00398,ACH-000969,0.15
DB00188,DB00398,ACH-000987,-13.86
DB00188,DB00398,ACH-001190,-34.31
DB00188,DB00399,ACH-000001,-32.89
DB00188,DB00399,ACH-000002,-24.01
DB00188,DB00399,ACH-000019,-26.92
DB00188,DB00399,ACH-000046,-9.98
DB00188,DB00399,ACH-000147,-42.21
DB00188,DB00399,ACH-000148,-38.93
DB00188,DB00399,ACH-000232,-39.41
DB00188,DB00399,ACH-000273,-42.1
DB00188,DB00399,ACH-000288,-5.03
DB00188,DB00399,ACH-000343,-27.84
DB00188,DB00399,ACH-000367,-22.52
DB00188,DB00399,ACH-000425,-41.87
DB00188,DB00399,ACH-000428,-47.81
DB00188,DB00399,ACH-000433,-11.39
DB00188,DB00399,ACH-000504,-38.67
DB00188,DB00399,ACH-000551,-26.52
DB00188,DB00399,ACH-000552,-43.92
DB00188,DB00399,ACH-000555,-0.86
DB00188,DB00399,ACH-000579,-31.98
DB00188,DB00399,ACH-000615,-25.36
DB00188,DB00399,ACH-000617,-27.16
DB00188,DB00399,ACH-000649,-7.38
DB00188,DB00399,ACH-000651,-26.97
DB00188,DB00399,ACH-000655,-0.42
DB00188,DB00399,ACH-000696,-13.44
DB00188,DB00399,ACH-000706,-19.03
DB00188,DB00399,ACH-000730,-45.71
DB00188,DB00399,ACH-000768,-24.74
DB00188,DB00399,ACH-000811,2.73
DB00188,DB00399,ACH-000825,-27.95
DB00188,DB00399,ACH-000849,-32.17
DB00188,DB00399,ACH-000900,-6.25
DB00188,DB00399,ACH-000969,-3.74
DB00188,DB00399,ACH-000971,-44.07
DB00188,DB00399,ACH-000997,-18.69
DB00188,DB00399,ACH-001151,-21.42
DB00188,DB00437,ACH-000001,-46.6
DB00188,DB00437,ACH-000002,-43.76
DB00188,DB00437,ACH-000019,-35.49
DB00188,DB00437,ACH-000046,-30.81
DB00188,DB00437,ACH-000090,-56.64
DB00188,DB00437,ACH-000147,-63.66
DB00188,DB00437,ACH-000148,-60.8
DB00188,DB00437,ACH-000232,-56.78
DB00188,DB00437,ACH-000273,-68.15
DB00188,DB00437,ACH-000288,-44.3
DB00188,DB00437,ACH-000343,-29.58
DB00188,DB00437,ACH-000367,-40.75
DB00188,DB00437,ACH-000376,-39.1
DB00188,DB00437,ACH-000425,-54.89
DB00188,DB00437,ACH-000428,-53.58
DB00188,DB00437,ACH-000433,-33.29
DB00188,DB00437,ACH-000463,-16.92
DB00188,DB00437,ACH-000477,-24.01
DB00188,DB00437,ACH-000504,-27.78
DB00188,DB00437,ACH-000551,-55.99
DB00188,DB00437,ACH-000552,-41.9
DB00188,DB00437,ACH-000555,-21.06
DB00188,DB00437,ACH-000579,-51.48
DB00188,DB00437,ACH-000615,-37.73
DB00188,DB00437,ACH-000617,-24.33
DB00188,DB00437,ACH-000649,-28.3
DB00188,DB00437,ACH-000651,-1.18
DB00188,DB00437,ACH-000655,-52.39
DB00188,DB00437,ACH-000681,-31.71
DB00188,DB00437,ACH-000696,-22.74
DB00188,DB00437,ACH-000706,-23.71
DB00188,DB00437,ACH-000730,-58.68
DB00188,DB00437,ACH-000768,-1.27
DB00188,DB00437,ACH-000811,-29.45
DB00188,DB00437,ACH-000825,-46.1
DB00188,DB00437,ACH-000849,-51.65
DB00188,DB00437,ACH-000861,-44.38
DB00188,DB00437,ACH-000900,-20.12
DB00188,DB00437,ACH-000966,-50.49
DB00188,DB00437,ACH-000969,-4.87
DB00188,DB00437,ACH-000971,-39.01
DB00188,DB00437,ACH-000997,-56.88
DB00188,DB00437,ACH-001151,-38.1
DB00188,DB00437,ACH-001190,-49.86
DB00188,DB00441,ACH-000028,-7.5125
DB00188,DB00441,ACH-000035,-8.2675
DB00188,DB00441,ACH-000202,4.5325
DB00188,DB00441,ACH-000291,-3.11
DB00188,DB00441,ACH-000304,-37.07
DB00188,DB00441,ACH-000348,-14.42
DB00188,DB00441,ACH-000395,-4.9425
DB00188,DB00441,ACH-000401,-11.19
DB00188,DB00441,ACH-000425,-11.66
DB00188,DB00441,ACH-000572,27.05
DB00188,DB00441,ACH-000579,-22.3
DB00188,DB00441,ACH-000614,-3.52
DB00188,DB00441,ACH-000615,-25.27
DB00188,DB00441,ACH-000644,10.19
DB00188,DB00441,ACH-000665,2.34
DB00188,DB00441,ACH-000713,-0.786666666666667
DB00188,DB00441,ACH-000730,-37.43
DB00188,DB00441,ACH-000750,-30.45
DB00188,DB00441,ACH-000757,-2.8975
DB00188,DB00441,ACH-000915,-9.77
DB00188,DB00441,ACH-000950,-6.565
DB00188,DB00441,ACH-000968,-11.4
DB00188,DB00441,ACH-000971,-7.17
DB00188,DB00441,ACH-000987,-10.42
DB00188,DB00441,ACH-001190,-36.62
DB00188,DB00441,ACH-001374,-3.16
DB00188,DB00441,ACH-001418,-3.4925
DB00188,DB00444,ACH-000001,-2.17
DB00188,DB00444,ACH-000019,-0.73
DB00188,DB00444,ACH-000046,-1.19
DB00188,DB00444,ACH-000090,-2.38
DB00188,DB00444,ACH-000147,-0.94
DB00188,DB00444,ACH-000232,6.2
DB00188,DB00444,ACH-000273,1.17
DB00188,DB00444,ACH-000288,1.26
DB00188,DB00444,ACH-000343,-1.47
DB00188,DB00444,ACH-000367,1.9
DB00188,DB00444,ACH-000376,5.02
DB00188,DB00444,ACH-000428,1.4
DB00188,DB00444,ACH-000433,-2.09
DB00188,DB00444,ACH-000463,-16.19
DB00188,DB00444,ACH-000477,-3.64
DB00188,DB00444,ACH-000504,-1.09
DB00188,DB00444,ACH-000551,0.65
DB00188,DB00444,ACH-000552,2.88
DB00188,DB00444,ACH-000555,-3.07
DB00188,DB00444,ACH-000579,3.17
DB00188,DB00444,ACH-000615,-3.32
DB00188,DB00444,ACH-000617,-0.92
DB00188,DB00444,ACH-000649,-0.77
DB00188,DB00444,ACH-000651,-11.38
DB00188,DB00444,ACH-000655,-5.77
DB00188,DB00444,ACH-000696,-0.49
DB00188,DB00444,ACH-000706,-0.3
DB00188,DB00444,ACH-000730,-1.96
DB00188,DB00444,ACH-000768,-2.74
DB00188,DB00444,ACH-000811,-0.98
DB00188,DB00444,ACH-000825,-0.38
DB00188,DB00444,ACH-000849,-2.39
DB00188,DB00444,ACH-000861,-0.81
DB00188,DB00444,ACH-000900,-3.45
DB00188,DB00444,ACH-000966,0.01
DB00188,DB00444,ACH-000969,0.39
DB00188,DB00444,ACH-000971,-4.48
DB00188,DB00444,ACH-000997,-4
DB00188,DB00444,ACH-001151,-2.46
DB00188,DB00444,ACH-001190,-1.23
DB00188,DB00480,ACH-000001,-13.25
DB00188,DB00480,ACH-000002,-6.01
DB00188,DB00480,ACH-000008,-13.58
DB00188,DB00480,ACH-000019,0.37
DB00188,DB00480,ACH-000046,0.44
DB00188,DB00480,ACH-000147,-2.8
DB00188,DB00480,ACH-000148,-0.65
DB00188,DB00480,ACH-000219,2.26
DB00188,DB00480,ACH-000232,-3.68
DB00188,DB00480,ACH-000273,0.67
DB00188,DB00480,ACH-000288,2.22
DB00188,DB00480,ACH-000304,-41.58
DB00188,DB00480,ACH-000343,-0.79
DB00188,DB00480,ACH-000348,-44.6
DB00188,DB00480,ACH-000367,6.81
DB00188,DB00480,ACH-000401,-36.02
DB00188,DB00480,ACH-000425,-13.06
DB00188,DB00480,ACH-000428,-8.56
DB00188,DB00480,ACH-000433,-1.35
DB00188,DB00480,ACH-000463,-2.5
DB00188,DB00480,ACH-000477,-17.16
DB00188,DB00480,ACH-000504,0.47
DB00188,DB00480,ACH-000551,-5.21
DB00188,DB00480,ACH-000552,-0.72
DB00188,DB00480,ACH-000555,-8.64
DB00188,DB00480,ACH-000572,-8.42
DB00188,DB00480,ACH-000614,-32.75
DB00188,DB00480,ACH-000617,-0.43
DB00188,DB00480,ACH-000644,6.01
DB00188,DB00480,ACH-000651,-18.46
DB00188,DB00480,ACH-000696,-3.06
DB00188,DB00480,ACH-000706,-0.41
DB00188,DB00480,ACH-000730,-55.43
DB00188,DB00480,ACH-000768,-1.16
DB00188,DB00480,ACH-000788,-14.09
DB00188,DB00480,ACH-000810,-29
DB00188,DB00480,ACH-000811,-1.43
DB00188,DB00480,ACH-000825,-6.46
DB00188,DB00480,ACH-000849,-9.78
DB00188,DB00480,ACH-000861,2.65
DB00188,DB00480,ACH-000900,-9.17
DB00188,DB00480,ACH-000915,-13.93
DB00188,DB00480,ACH-000968,-11.94
DB00188,DB00480,ACH-000969,2.21
DB00188,DB00480,ACH-000971,1.45
DB00188,DB00480,ACH-000987,-26.12
DB00188,DB00480,ACH-001151,-1.09
DB00188,DB00480,ACH-001190,-23.56
DB00188,DB00481,ACH-000001,-19.14
DB00188,DB00481,ACH-000002,-80.14
DB00188,DB00481,ACH-000019,1.3
DB00188,DB00481,ACH-000046,-1.3
DB00188,DB00481,ACH-000090,-2.36
DB00188,DB00481,ACH-000147,-0.08
DB00188,DB00481,ACH-000148,-0.62
DB00188,DB00481,ACH-000232,-0.01
DB00188,DB00481,ACH-000273,-4.55
DB00188,DB00481,ACH-000288,-11.28
DB00188,DB00481,ACH-000343,2.91
DB00188,DB00481,ACH-000367,-6.97
DB00188,DB00481,ACH-000376,-7.54
DB00188,DB00481,ACH-000425,0.01
DB00188,DB00481,ACH-000428,-1.64
DB00188,DB00481,ACH-000433,-2.18
DB00188,DB00481,ACH-000463,-14.04
DB00188,DB00481,ACH-000477,-23.04
DB00188,DB00481,ACH-000504,-0.31
DB00188,DB00481,ACH-000551,15.09
DB00188,DB00481,ACH-000552,-11.58
DB00188,DB00481,ACH-000555,-72.75
DB00188,DB00481,ACH-000615,-4.59
DB00188,DB00481,ACH-000617,-1.39
DB00188,DB00481,ACH-000649,-1.79
DB00188,DB00481,ACH-000651,-16.7
DB00188,DB00481,ACH-000655,-24.72
DB00188,DB00481,ACH-000681,-2.07
DB00188,DB00481,ACH-000696,0.48
DB00188,DB00481,ACH-000706,0.35
DB00188,DB00481,ACH-000730,-2.53
DB00188,DB00481,ACH-000750,3.48
DB00188,DB00481,ACH-000768,-4.28
DB00188,DB00481,ACH-000811,-1.29
DB00188,DB00481,ACH-000825,-3.07
DB00188,DB00481,ACH-000849,-50.06
DB00188,DB00481,ACH-000900,-8.91
DB00188,DB00481,ACH-000966,0.99
DB00188,DB00481,ACH-000969,1.58
DB00188,DB00481,ACH-000971,-5.29
DB00188,DB00481,ACH-000997,-3.19
DB00188,DB00481,ACH-001151,-1.74
DB00188,DB00481,ACH-001190,-4.51
DB00188,DB00482,ACH-000001,-35
DB00188,DB00482,ACH-000002,-45.8
DB00188,DB00482,ACH-000019,-50.72
DB00188,DB00482,ACH-000046,-40.03
DB00188,DB00482,ACH-000147,-59.13
DB00188,DB00482,ACH-000148,-45.52
DB00188,DB00482,ACH-000232,-53.18
DB00188,DB00482,ACH-000273,-31.25
DB00188,DB00482,ACH-000288,-48.96
DB00188,DB00482,ACH-000343,-47.94
DB00188,DB00482,ACH-000367,-40.41
DB00188,DB00482,ACH-000425,-47.74
DB00188,DB00482,ACH-000428,-55.67
DB00188,DB00482,ACH-000433,-42.16
DB00188,DB00482,ACH-000477,-41.64
DB00188,DB00482,ACH-000504,-49.93
DB00188,DB00482,ACH-000551,-52.91
DB00188,DB00482,ACH-000552,-33.21
DB00188,DB00482,ACH-000555,-38.67
DB00188,DB00482,ACH-000579,-45.47
DB00188,DB00482,ACH-000615,-25.96
DB00188,DB00482,ACH-000617,-33.48
DB00188,DB00482,ACH-000649,-43.6
DB00188,DB00482,ACH-000651,-48.27
DB00188,DB00482,ACH-000655,-37.57
DB00188,DB00482,ACH-000696,-34.58
DB00188,DB00482,ACH-000706,-20.93
DB00188,DB00482,ACH-000730,-47.76
DB00188,DB00482,ACH-000768,-49.13
DB00188,DB00482,ACH-000811,-29.25
DB00188,DB00482,ACH-000825,-48.13
DB00188,DB00482,ACH-000849,-23.73
DB00188,DB00482,ACH-000900,-15.54
DB00188,DB00482,ACH-000966,-44.93
DB00188,DB00482,ACH-000969,-43.03
DB00188,DB00482,ACH-000971,-57.22
DB00188,DB00482,ACH-000997,-27.35
DB00188,DB00482,ACH-001151,-39.81
DB00188,DB00482,ACH-001190,-45.74
DB00188,DB00530,ACH-000008,-2.5
DB00188,DB00530,ACH-000097,10.4825
DB00188,DB00530,ACH-000202,7.6725
DB00188,DB00530,ACH-000304,-33.75
DB00188,DB00530,ACH-000395,-11.3625
DB00188,DB00530,ACH-000401,-9.56
DB00188,DB00530,ACH-000421,6.3975
DB00188,DB00530,ACH-000572,14.91
DB00188,DB00530,ACH-000579,-25.84
DB00188,DB00530,ACH-000614,-10.58
DB00188,DB00530,ACH-000615,-36.37
DB00188,DB00530,ACH-000644,4.04
DB00188,DB00530,ACH-000651,-6.1875
DB00188,DB00530,ACH-000730,-34.76
DB00188,DB00530,ACH-000750,12.48
DB00188,DB00530,ACH-000915,-0.02
DB00188,DB00530,ACH-000968,-10.41
DB00188,DB00530,ACH-000987,-20.62
DB00188,DB00530,ACH-001190,-18.71
DB00188,DB00530,ACH-001374,-11.5225
