drugbank_id,drug_name,drug_FDA,atc_code
DB00040,Glucagon,approved,H04AA01
DB00041,Aldesleukin,approved,L03AC01
DB00042,Botulinum toxin type B,approved,M03AX01
DB00043,Omalizumab,approved,R03DX05
DB00044,Lutropin alfa,approved,G03GA07
DB00045,Lyme disease vaccine (recombinant OspA),approved,
DB00046,Insulin lispro,approved,A10AC04
DB00046,Insulin lispro,approved,A10AB04
DB00046,Insulin lispro,approved,A10AD04
DB00047,Insulin glargine,approved,A10AE54
DB00047,Insulin glargine,approved,A10AE04
DB00048,Collagenase clostridium histolyticum,approved,D03BA02
DB00048,Collagenase clostridium histolyticum,approved,M09AB02
DB00048,Collagenase clostridium histolyticum,approved,D03BA52
DB00049,Rasburicase,approved,V03AF07
DB00049,Rasburicase,approved,M04AX01
DB00050,Cetrorelix,approved,H01CC02
DB00051,Adalimumab,approved,L04AB04
DB00052,Somatotropin,approved,H01AC01
DB00053,Imiglucerase,approved,A16AB02
DB00054,Abciximab,approved,B01AC13
DB00055,Drotrecogin alfa,approved,B01AD10
DB00056,Gemtuzumab ozogamicin,approved,L01FX02
DB00057,Indium In-111 satumomab pendetide,experimental,V09IB02
DB00058,Alpha-1-proteinase inhibitor,approved,B02AB02
DB00059,Pegaspargase,approved,L01XX24
DB00060,Interferon beta-1a,approved,L03AB07
DB00061,Pegademase,approved,L03AX04
DB00062,Albumin human,approved,B05AA01
DB00063,Eptifibatide,approved,B01AC16
DB00065,Infliximab,approved,L04AB02
DB00066,Follitropin,approved,G03GA06
DB00066,Follitropin,approved,G03GA10
DB00066,Follitropin,approved,G03GA05
DB00067,Vasopressin,approved,
DB00068,Interferon beta-1b,approved,L03AB08
DB00069,Interferon alfacon-1,approved,L03AB09
DB00070,Hyaluronidase (ovine),approved,
DB00071,Insulin pork,approved,A10AC03
DB00071,Insulin pork,approved,A10AB03
DB00071,Insulin pork,approved,A10AE03
DB00071,Insulin pork,approved,A10AD03
DB00072,Trastuzumab,approved,L01FD01
DB00072,Trastuzumab,approved,L01XY02
DB00073,Rituximab,approved,L01FA01
DB00074,Basiliximab,approved,L04AC02
DB00075,Muromonab,approved,L04AA02
DB00076,Digoxin Immune Fab (Ovine),approved,V03AB24
DB00078,Ibritumomab tiuxetan,approved,V10XX02
DB00080,Daptomycin,approved,J01XX09
DB00081,Tositumomab,approved,V10XA53
DB00082,Pegvisomant,approved,H01AX01
DB00083,Botulinum toxin type A,approved,M03AX01
DB00085,Pancrelipase,approved,A09AA02
DB00086,Streptokinase,approved,B01AD01
DB00086,Streptokinase,approved,B06AA55
DB00087,Alemtuzumab,approved,L04AA34
DB00088,Alglucerase,approved,A16AB01
DB00089,Capromab pendetide,approved,V09IB04
DB00090,Laronidase,approved,A16AB05
DB00091,Cyclosporine,approved,L04AD01
DB00091,Cyclosporine,approved,S01XA18
DB00092,Alefacept,approved,L04AA15
DB00093,Felypressin,experimental,
DB00094,Urofollitropin,approved,G03GA04
DB00095,Efalizumab,approved,L04AA21
DB00097,Choriogonadotropin alfa,approved,G03GA08
DB00098,Antithymocyte immunoglobulin (rabbit),approved,L04AA04
DB00099,Filgrastim,approved,L03AA02
DB00100,Coagulation Factor IX (Recombinant),approved,
DB00102,Becaplermin,approved,D03AX06
DB00102,Becaplermin,approved,A01AD08
DB00103,Agalsidase beta,approved,A16AB04
DB00104,Octreotide,approved,H01CB02
DB00105,Interferon alfa-2b,approved,L03AB05
DB00106,Abarelix,approved,L02BX01
DB00107,Oxytocin,approved,G02AC01
DB00107,Oxytocin,approved,H01BB02
DB00108,Natalizumab,approved,L04AA23
DB00109,Enfuvirtide,approved,J05AX07
DB00110,Palivizumab,approved,J06BD01
DB00111,Daclizumab,investigational,L04AC01
DB00112,Bevacizumab,approved,L01FG01
DB00112,Bevacizumab,approved,S01LA08
DB00113,Technetium Tc-99m arcitumomab,experimental,V09IA06
DB00114,Pyridoxal phosphate,approved,A11HA06
DB00115,Cyanocobalamin,approved,B03BA01
DB00115,Cyanocobalamin,approved,B03AE01
DB00115,Cyanocobalamin,approved,B03BA51
DB00116,Tetrahydrofolic acid,nutraceutical,
DB00117,Histidine,investigational,
DB00118,Ademetionine,approved,A16AA02
DB00119,Pyruvic acid,approved,
DB00120,Phenylalanine,approved,
DB00121,Biotin,approved,A11HA05
DB00122,Choline,approved,
DB00123,Lysine,approved,V03AF11
DB00123,Lysine,approved,B05XB03
DB00125,Arginine,investigational,V03AF11
DB00125,Arginine,investigational,B05XB01
DB00126,Ascorbic acid,approved,G01AD03
DB00126,Ascorbic acid,approved,A11GA01
DB00126,Ascorbic acid,approved,A11GB01
DB00126,Ascorbic acid,approved,S01XA15
DB00127,Spermine,experimental,
DB00128,Aspartic acid,approved,
DB00129,Ornithine,approved,A05BA06
DB00130,L-Glutamine,approved,A16AA03
DB00131,Adenosine phosphate,approved,
DB00132,alpha-Linolenic acid,approved,
DB00133,Serine,investigational,
DB00134,Methionine,approved,V03AB26
DB00135,Tyrosine,approved,
DB00136,Calcitriol,approved,D05AX03
DB00136,Calcitriol,approved,A11CC04
DB00137,Lutein,approved,
DB00138,Cystine,approved,
DB00139,Succinic acid,approved,
DB00140,Riboflavin,approved,A11HA04
DB00140,Riboflavin,approved,S01XA26
DB00141,N-Acetylglucosamine,approved,
DB00142,Glutamic acid,approved,A09AB01
DB00143,Glutathione,approved,V03AB32
DB00144,Phosphatidyl serine,investigational,
DB00145,Glycine,approved,B05CX03
DB00146,Calcifediol,approved,A11CC06
DB00146,Calcifediol,approved,H05BX05
DB00147,Pyridoxal,experimental,
DB00148,Creatine,approved,
DB00149,Leucine,investigational,
DB00150,Tryptophan,approved,N06AX02
DB00151,Cysteine,approved,
DB00152,Thiamine,approved,A11DA01
DB00153,Ergocalciferol,approved,A11CC01
DB00154,Dihomo-gamma-linolenic acid,investigational,
DB00155,Citrulline,investigational,
DB00156,Threonine,approved,
DB00157,NADH,approved,
DB00158,Folic acid,approved,B03AE02
DB00158,Folic acid,approved,B03AD04
DB00158,Folic acid,approved,V04CX02
DB00158,Folic acid,approved,B03AD01
DB00158,Folic acid,approved,B03BB51
DB00158,Folic acid,approved,B03AD03
DB00158,Folic acid,approved,B03BB01
DB00158,Folic acid,approved,B03AE01
DB00158,Folic acid,approved,B03AD05
DB00158,Folic acid,approved,B03AD02
DB00159,Icosapent,approved,
DB00160,Alanine,nutraceutical,
DB00161,Valine,approved,
DB00162,Vitamin A,approved,S01XA02
DB00162,Vitamin A,approved,V04CB01
DB00162,Vitamin A,approved,D10AD02
DB00162,Vitamin A,approved,R01AX02
DB00162,Vitamin A,approved,A11CA01
DB00163,Vitamin E,approved,
DB00165,Pyridoxine,approved,J04AM08
DB00165,Pyridoxine,approved,A11HA02
DB00166,Lipoic acid,approved,A16AX01
DB00167,Isoleucine,investigational,
DB00168,Aspartame,investigational,
DB00169,Cholecalciferol,approved,M05BB09
DB00169,Cholecalciferol,approved,M05BX53
DB00169,Cholecalciferol,approved,M05BB07
DB00169,Cholecalciferol,approved,M05BB08
DB00169,Cholecalciferol,approved,A11CC55
DB00169,Cholecalciferol,approved,M05BB05
DB00169,Cholecalciferol,approved,A11CC05
DB00169,Cholecalciferol,approved,M05BB03
DB00169,Cholecalciferol,approved,M05BB04
DB00170,Menadione,approved,B02BA02
DB00171,ATP,investigational,
DB00172,Proline,nutraceutical,
DB00173,Adenine,approved,
DB00174,Asparagine,approved,
DB00175,Pravastatin,approved,C10AA03
DB00175,Pravastatin,approved,C10BA11
DB00175,Pravastatin,approved,C10BA03
DB00175,Pravastatin,approved,C10BA12
DB00175,Pravastatin,approved,C10BX02
DB00176,Fluvoxamine,approved,N06AB08
DB00177,Valsartan,approved,C09DX05
DB00177,Valsartan,approved,C10BX10
DB00177,Valsartan,approved,C09DA03
DB00177,Valsartan,approved,C09CA03
DB00177,Valsartan,approved,C09DX02
DB00177,Valsartan,approved,C09DX01
DB00177,Valsartan,approved,C09DB08
DB00177,Valsartan,approved,C09DB01
DB00177,Valsartan,approved,C09DX04
DB00178,Ramipril,approved,C09BX03
DB00178,Ramipril,approved,C10BX04
DB00178,Ramipril,approved,C09BB05
DB00178,Ramipril,approved,C09AA05
DB00178,Ramipril,approved,C10BX18
DB00178,Ramipril,approved,C10BX17
DB00178,Ramipril,approved,C09BB07
DB00178,Ramipril,approved,C09BX05
DB00178,Ramipril,approved,C10BX06
DB00178,Ramipril,approved,C09BA05
DB00179,Masoprocol,approved,L01XX10
DB00180,Flunisolide,approved,R01AD04
DB00180,Flunisolide,approved,R03BA03
DB00181,Baclofen,approved,M03BX01
DB00182,Amphetamine,approved,N06BA01
DB00183,Pentagastrin,approved,V04CG04
DB00184,Nicotine,approved,N07BA01
DB00185,Cevimeline,approved,N07AX03
DB00186,Lorazepam,approved,N05BA56
DB00186,Lorazepam,approved,N05BA06
DB00187,Esmolol,approved,C07AB09
DB00188,Bortezomib,approved,L01XG01
DB00189,Ethchlorvynol,approved,N05CM08
DB00190,Carbidopa,approved,
DB00191,Phentermine,approved,A08AA01
DB00191,Phentermine,approved,A08AA51
DB00192,Indecainide,approved,
DB00193,Tramadol,approved,N02AJ16
DB00193,Tramadol,approved,N02AJ13
DB00193,Tramadol,approved,N02AJ14
DB00193,Tramadol,approved,N02AX02
DB00194,Vidarabine,approved,J05AB03
DB00194,Vidarabine,approved,S01AD06
DB00195,Betaxolol,approved,S01ED02
DB00195,Betaxolol,approved,C07AB05
DB00195,Betaxolol,approved,S01ED52
DB00196,Fluconazole,approved,J01RA07
DB00196,Fluconazole,approved,J02AC01
DB00196,Fluconazole,approved,D01AC15
DB00197,Troglitazone,approved,A10BG01
DB00198,Oseltamivir,approved,J05AH02
DB00199,Erythromycin,approved,J01FA01
DB00199,Erythromycin,approved,D10AF02
DB00199,Erythromycin,approved,S01AA17
DB00199,Erythromycin,approved,D10AF52
DB00200,Hydroxocobalamin,approved,B03BA53
DB00200,Hydroxocobalamin,approved,V03AB33
DB00200,Hydroxocobalamin,approved,B03BA03
DB00201,Caffeine,approved,D11AX26
DB00201,Caffeine,approved,R03DA20
DB00201,Caffeine,approved,V04CG30
DB00201,Caffeine,approved,N06BC01
DB00202,Succinylcholine,approved,M03AB01
DB00203,Sildenafil,approved,G01AE10
DB00203,Sildenafil,approved,G04BE03
DB00204,Dofetilide,approved,C01BD04
DB00205,Pyrimethamine,approved,P01BF09
DB00205,Pyrimethamine,approved,P01BD01
DB00205,Pyrimethamine,approved,P01BD51
DB00205,Pyrimethamine,approved,P01BF04
DB00206,Reserpine,approved,C02LA51
DB00206,Reserpine,approved,C02AA02
DB00206,Reserpine,approved,C02LA01
DB00206,Reserpine,approved,C02LA71
DB00206,Reserpine,approved,C02AA52
DB00207,Azithromycin,approved,J01RA07
DB00207,Azithromycin,approved,S01AA26
DB00207,Azithromycin,approved,J01FA10
DB00207,Azithromycin,approved,J01RA16
DB00208,Ticlopidine,approved,B01AC05
DB00209,Trospium,approved,A03DA06
DB00209,Trospium,approved,G04BD09
DB00210,Adapalene,approved,D10AD03
DB00210,Adapalene,approved,D10AD53
DB00211,Midodrine,approved,C01CA17
DB00212,Remikiren,experimental,C09XA01
DB00213,Pantoprazole,approved,A02BD04
DB00213,Pantoprazole,approved,A02BD11
DB00213,Pantoprazole,approved,A02BC02
DB00214,Torasemide,approved,C03CA04
DB00214,Torasemide,approved,G01AE10
DB00215,Citalopram,approved,N06AB04
DB00216,Eletriptan,approved,N02CC06
DB00217,Bethanidine,approved,C02CC01
DB00218,Moxifloxacin,approved,S01AE07
DB00218,Moxifloxacin,approved,J01MA14
DB00219,Oxyphenonium,approved,A03AB53
DB00219,Oxyphenonium,approved,A03AB03
DB00220,Nelfinavir,approved,J05AE04
DB00221,Isoetharine,approved,R03CC06
DB00221,Isoetharine,approved,R03AC07
DB00222,Glimepiride,approved,A10BD04
DB00222,Glimepiride,approved,A10BB12
DB00222,Glimepiride,approved,A10BD06
DB00223,Diflorasone,approved,D07AC10
DB00224,Indinavir,approved,J05AE02
DB00225,Gadodiamide,approved,V08CA03
DB00226,Guanadrel,approved,
DB00227,Lovastatin,approved,C10AA02
DB00227,Lovastatin,approved,C10BA01
DB00228,Enflurane,approved,N01AB04
DB00229,Cefotiam,approved,J01DC07
DB00230,Pregabalin,approved,N02BF02
DB00231,Temazepam,approved,N05CD07
DB00232,Methyclothiazide,withdrawn,C03AA08
DB00232,Methyclothiazide,withdrawn,C03AB08
DB00233,Aminosalicylic acid,approved,J04AA02
DB00233,Aminosalicylic acid,approved,J04AA03
DB00233,Aminosalicylic acid,approved,J04AA01
DB00234,Reboxetine,approved,N06AX18
DB00235,Milrinone,approved,C01CE02
DB00236,Pipobroman,approved,L01AX02
DB00237,Butabarbital,approved,N05CB01
DB00238,Nevirapine,approved,J05AG01
DB00238,Nevirapine,approved,J05AR05
DB00238,Nevirapine,approved,J05AR07
DB00239,Oxiconazole,approved,D01AC11
DB00239,Oxiconazole,approved,G01AF17
DB00239,Oxiconazole,approved,G01AF20
DB00240,Alclometasone,approved,D07AB10
DB00240,Alclometasone,approved,S01BA10
DB00241,Butalbital,approved,N05CB01
DB00242,Cladribine,approved,L04AA40
DB00242,Cladribine,approved,L01BB04
DB00243,Ranolazine,approved,C01EB18
DB00244,Mesalazine,approved,A07EC02
DB00245,Benzatropine,approved,N04AC01
DB00246,Ziprasidone,approved,N05AE04
DB00247,Methysergide,approved,N02CA04
DB00248,Cabergoline,approved,N04BC06
DB00248,Cabergoline,approved,G02CB03
DB00249,Idoxuridine,approved,D06BB01
DB00249,Idoxuridine,approved,J05AB02
DB00249,Idoxuridine,approved,S01AD01
DB00250,Dapsone,approved,J04BA50
DB00250,Dapsone,approved,J04BA51
DB00250,Dapsone,approved,D10AX05
DB00250,Dapsone,approved,J04BA02
DB00251,Terconazole,approved,G01AG02
DB00252,Phenytoin,approved,N03AB02
DB00252,Phenytoin,approved,N03AB52
DB00253,Medrysone,approved,S01BA08
DB00254,Doxycycline,approved,J01AA02
DB00254,Doxycycline,approved,A01AB22
DB00254,Doxycycline,approved,J01AA20
DB00255,Diethylstilbestrol,approved,L02AA04
DB00255,Diethylstilbestrol,approved,L02AA01
DB00255,Diethylstilbestrol,approved,G03CC05
DB00255,Diethylstilbestrol,approved,G03CB02
DB00256,Lymecycline,approved,J01AA04
DB00256,Lymecycline,approved,J01AA20
DB00257,Clotrimazole,approved,D01AC01
DB00257,Clotrimazole,approved,A01AB18
DB00257,Clotrimazole,approved,G01AF02
DB00257,Clotrimazole,approved,G01AF20
DB00258,Calcium acetate,approved,V03AE04
DB00258,Calcium acetate,approved,A11GB01
DB00258,Calcium acetate,approved,V03AE07
DB00259,Sulfanilamide,approved,G01AE10
DB00259,Sulfanilamide,approved,J01EB06
DB00259,Sulfanilamide,approved,D06BA05
DB00260,Cycloserine,approved,J04AB01
DB00261,Anagrelide,approved,L01XX35
DB00262,Carmustine,approved,L01AD01
DB00263,Sulfisoxazole,approved,J01EB05
DB00263,Sulfisoxazole,approved,G01AE10
DB00263,Sulfisoxazole,approved,S01AB02
DB00264,Metoprolol,approved,C07FB02
DB00264,Metoprolol,approved,C07FX05
DB00264,Metoprolol,approved,C07FX03
DB00264,Metoprolol,approved,C07FB13
DB00264,Metoprolol,approved,C07AB02
DB00264,Metoprolol,approved,C07BB52
DB00264,Metoprolol,approved,C07CB02
DB00264,Metoprolol,approved,C07BB02
DB00265,Crotamiton,approved,
DB00266,Dicoumarol,approved,B01AA01
DB00267,Cefmenoxime,approved,S02AA18
DB00267,Cefmenoxime,approved,J01DD05
DB00267,Cefmenoxime,approved,S01AA31
DB00268,Ropinirole,approved,N04BC04
DB00269,Chlorotrianisene,investigational,G03CA06
DB00270,Isradipine,approved,C08CA03
DB00271,Diatrizoate,approved,V08AA01
DB00272,Betazole,approved,V04CG02
DB00273,Topiramate,approved,A08AA51
DB00273,Topiramate,approved,N03AX11
DB00274,Cefmetazole,approved,J01DC09
DB00275,Olmesartan,approved,C09DA08
DB00275,Olmesartan,approved,C09DX03
DB00275,Olmesartan,approved,C09CA08
DB00275,Olmesartan,approved,C09DB02
DB00276,Amsacrine,approved,L01XX01
DB00277,Theophylline,approved,R03DA54
DB00277,Theophylline,approved,R03DA74
DB00277,Theophylline,approved,R03DA20
DB00277,Theophylline,approved,R03DA04
DB00277,Theophylline,approved,R03DB04
DB00278,Argatroban,approved,B01AE03
DB00279,Liothyronine,approved,H03AA03
DB00279,Liothyronine,approved,H03AA02
DB00280,Disopyramide,approved,C01BA03
DB00281,Lidocaine,approved,S01HA07
DB00281,Lidocaine,approved,D04AB01
DB00281,Lidocaine,approved,R02AD02
DB00281,Lidocaine,approved,C01BB01
DB00281,Lidocaine,approved,S02DA01
DB00281,Lidocaine,approved,N01BB52
DB00281,Lidocaine,approved,C05AD01
DB00281,Lidocaine,approved,N01BB02
DB00282,Pamidronic acid,approved,M05BA03
DB00283,Clemastine,approved,D04AA14
DB00283,Clemastine,approved,R06AA54
DB00283,Clemastine,approved,R06AA04
DB00284,Acarbose,approved,A10BD17
DB00284,Acarbose,approved,A10BF01
DB00285,Venlafaxine,approved,N06AX16
DB00286,Conjugated estrogens,approved,G03CA57
DB00286,Conjugated estrogens,approved,G03CC07
DB00287,Travoprost,approved,S01EE04
DB00288,Amcinonide,approved,D07AC11
DB00289,Atomoxetine,approved,N06BA09
DB00290,Bleomycin,approved,L01DC01
DB00291,Chlorambucil,approved,L01AA02
DB00292,Etomidate,approved,N01AX07
DB00293,Raltitrexed,approved,L01BA03
DB00294,Etonogestrel,approved,G03AC08
DB00295,Morphine,approved,A07DA52
DB00295,Morphine,approved,N02AA51
DB00295,Morphine,approved,N02AA01
DB00295,Morphine,approved,N02AG01
DB00296,Ropivacaine,approved,N01BB09
DB00297,Bupivacaine,approved,N01BB01
DB00297,Bupivacaine,approved,N01BB59
DB00297,Bupivacaine,approved,N01BB51
DB00298,Dapiprazole,approved,S01EX02
DB00299,Penciclovir,approved,D06BB06
DB00299,Penciclovir,approved,J05AB13
DB00300,Tenofovir disoproxil,approved,J05AR27
DB00300,Tenofovir disoproxil,approved,J05AF07
DB00300,Tenofovir disoproxil,approved,J05AR08
DB00300,Tenofovir disoproxil,approved,J05AR11
DB00300,Tenofovir disoproxil,approved,J05AR09
DB00300,Tenofovir disoproxil,approved,J05AR06
DB00300,Tenofovir disoproxil,approved,J05AR24
DB00300,Tenofovir disoproxil,approved,J05AR12
DB00300,Tenofovir disoproxil,approved,J05AR03
DB00301,Flucloxacillin,approved,J01CR50
DB00301,Flucloxacillin,approved,J01CF05
DB00302,Tranexamic acid,approved,B02AA02
DB00303,Ertapenem,approved,J01DH03
DB00304,Desogestrel,approved,G03AC09
DB00304,Desogestrel,approved,G03FB10
DB00304,Desogestrel,approved,G03AB05
DB00304,Desogestrel,approved,G03AA09
DB00305,Mitomycin,approved,L01DC03
DB00306,Talbutal,approved,N05CA07
DB00307,Bexarotene,approved,L01XF03
DB00308,Ibutilide,approved,C01BD05
DB00309,Vindesine,approved,L01CA03
DB00310,Chlorthalidone,approved,G01AE10
DB00310,Chlorthalidone,approved,C03EA06
DB00310,Chlorthalidone,approved,C03BB04
DB00310,Chlorthalidone,approved,C03BA04
DB00311,Ethoxzolamide,withdrawn,
DB00312,Pentobarbital,approved,N05CB01
DB00312,Pentobarbital,approved,N05CA01
DB00313,Valproic acid,approved,N03AG01
DB00314,Capreomycin,approved,J04AB30
DB00315,Zolmitriptan,approved,N02CC03
DB00316,Acetaminophen,approved,N02BE71
DB00316,Acetaminophen,approved,N02BE01
DB00316,Acetaminophen,approved,N02AJ13
DB00316,Acetaminophen,approved,N02AJ17
DB00316,Acetaminophen,approved,N02BE51
DB00316,Acetaminophen,approved,N02AJ06
DB00316,Acetaminophen,approved,N02AJ01
DB00317,Gefitinib,approved,L01EB01
DB00318,Codeine,approved,N02AA79
DB00318,Codeine,approved,R05DA04
DB00318,Codeine,approved,N02AA59
DB00318,Codeine,approved,N02AJ08
DB00318,Codeine,approved,N02AJ06
DB00318,Codeine,approved,N02AJ07
DB00319,Piperacillin,approved,J01CR50
DB00319,Piperacillin,approved,J01CA12
DB00320,Dihydroergotamine,approved,N02CA51
DB00320,Dihydroergotamine,approved,N02CA01
DB00321,Amitriptyline,approved,N06AA09
DB00321,Amitriptyline,approved,N06CA01
DB00322,Floxuridine,approved,L01BC09
DB00323,Tolcapone,approved,N04BX01
DB00324,Fluorometholone,approved,D07XB04
DB00324,Fluorometholone,approved,D07AB06
DB00324,Fluorometholone,approved,S01BA07
DB00324,Fluorometholone,approved,S01BB03
DB00324,Fluorometholone,approved,C05AA06
DB00324,Fluorometholone,approved,D07CB03
DB00324,Fluorometholone,approved,S01CB05
DB00324,Fluorometholone,approved,S01CA07
DB00324,Fluorometholone,approved,D10AA01
DB00325,Nitroprusside,approved,C02DD01
DB00326,Calcium glucoheptonate,approved,A12AA10
DB00327,Hydromorphone,approved,N02AA53
DB00327,Hydromorphone,approved,N02AA03
DB00327,Hydromorphone,approved,N02AG04
DB00328,Indomethacin,approved,S01CC02
DB00328,Indomethacin,approved,M01AB51
DB00328,Indomethacin,approved,S01BC01
DB00328,Indomethacin,approved,M02AA23
DB00328,Indomethacin,approved,M01AB01
DB00328,Indomethacin,approved,C01EB03
DB00330,Ethambutol,approved,J04AK02
DB00330,Ethambutol,approved,J04AM03
DB00330,Ethambutol,approved,J04AM06
DB00330,Ethambutol,approved,J04AM07
DB00331,Metformin,approved,A10BD23
DB00331,Metformin,approved,A10BD02
DB00331,Metformin,approved,A10BD18
DB00331,Metformin,approved,A10BD11
DB00331,Metformin,approved,A10BD25
DB00331,Metformin,approved,A10BA02
DB00331,Metformin,approved,A10BD22
DB00331,Metformin,approved,A10BD14
DB00331,Metformin,approved,A10BD16
DB00331,Metformin,approved,A10BD17
DB00331,Metformin,approved,A10BD05
DB00331,Metformin,approved,A10BD15
DB00331,Metformin,approved,A10BD07
DB00331,Metformin,approved,A10BD10
DB00331,Metformin,approved,A10BD13
DB00331,Metformin,approved,A10BD26
DB00331,Metformin,approved,A10BD20
DB00331,Metformin,approved,A10BD08
DB00331,Metformin,approved,A10BD27
DB00331,Metformin,approved,A10BD03
DB00332,Ipratropium,approved,R03BB01
DB00332,Ipratropium,approved,R01AX03
DB00332,Ipratropium,approved,R03AL01
DB00332,Ipratropium,approved,R03AL02
DB00333,Methadone,approved,N07BC02
DB00333,Methadone,approved,N02AC52
DB00334,Olanzapine,approved,N05AH53
DB00334,Olanzapine,approved,N05AH03
DB00335,Atenolol,approved,C07CB53
DB00335,Atenolol,approved,C07AB03
DB00335,Atenolol,approved,C07FB03
DB00335,Atenolol,approved,C07DB01
DB00335,Atenolol,approved,C07BB03
DB00335,Atenolol,approved,C07CB03
DB00336,Nitrofural,approved,B05CA03
DB00336,Nitrofural,approved,S02AA02
DB00336,Nitrofural,approved,D08AF01
DB00336,Nitrofural,approved,D09AA03
DB00336,Nitrofural,approved,S01AX04
DB00336,Nitrofural,approved,P01CC02
DB00337,Pimecrolimus,approved,D11AH02
DB00338,Omeprazole,approved,A02BC01
DB00338,Omeprazole,approved,A02BD05
DB00338,Omeprazole,approved,A02BD16
DB00338,Omeprazole,approved,A02BD01
DB00339,Pyrazinamide,approved,J04AK01
DB00339,Pyrazinamide,approved,J04AM06
DB00339,Pyrazinamide,approved,J04AM05
DB00340,Metixene,approved,N04AA03
DB00341,Cetirizine,approved,S01GX12
DB00341,Cetirizine,approved,R06AE07
DB00342,Terfenadine,approved,R06AX12
DB00343,Diltiazem,approved,C08DB01
DB00343,Diltiazem,approved,C05AE03
DB00344,Protriptyline,approved,N06AA11
DB00345,Aminohippuric acid,approved,V04CH30
DB00346,Alfuzosin,approved,G04CA01
DB00346,Alfuzosin,approved,G04CA51
DB00347,Trimethadione,approved,N03AC02
DB00348,Nitisinone,approved,A16AX04
DB00349,Clobazam,approved,N05BA09
DB00350,Minoxidil,approved,D11AX01
DB00350,Minoxidil,approved,C02DC01
DB00351,Megestrol acetate,approved,G03FB04
DB00351,Megestrol acetate,approved,G03DB02
DB00351,Megestrol acetate,approved,G03FA08
DB00351,Megestrol acetate,approved,G03AC05
DB00351,Megestrol acetate,approved,L02AB01
DB00351,Megestrol acetate,approved,G03AA04
DB00351,Megestrol acetate,approved,G03AB01
DB00352,Tioguanine,approved,L01BB03
DB00353,Methylergometrine,approved,G02AC01
DB00353,Methylergometrine,approved,G02AB01
DB00354,Buclizine,approved,R06AE51
DB00354,Buclizine,approved,R06AE01
DB00355,Aztreonam,approved,J01DF01
DB00356,Chlorzoxazone,approved,M03BB03
DB00356,Chlorzoxazone,approved,M03BB53
DB00356,Chlorzoxazone,approved,M03BB73
DB00357,Aminoglutethimide,approved,L02BG01
DB00358,Mefloquine,approved,P01BF02
DB00358,Mefloquine,approved,P01BC02
DB00359,Sulfadiazine,approved,J01EE06
DB00359,Sulfadiazine,approved,J01EC02
DB00359,Sulfadiazine,approved,G01AE10
DB00359,Sulfadiazine,approved,J01EE02
DB00360,Sapropterin,approved,A16AX07
DB00361,Vinorelbine,approved,L01CA04
DB00362,Anidulafungin,approved,J02AX06
DB00363,Clozapine,approved,N05AH02
DB00364,Sucralfate,approved,A02BX02
DB00365,Grepafloxacin,approved,J01MA11
DB00366,Doxylamine,approved,R06AA09
DB00366,Doxylamine,approved,R06AA59
DB00367,Levonorgestrel,approved,G03AB03
DB00367,Levonorgestrel,approved,G03AD01
DB00367,Levonorgestrel,approved,G03AC03
DB00367,Levonorgestrel,approved,G03FB09
DB00367,Levonorgestrel,approved,G03AA07
DB00367,Levonorgestrel,approved,G03FA11
