"","pathway","genes"
"GOBP_ABSCISSION","GOBP_ABSCISSION","AURKB,CHMP4C,IST1,SPART,VPS4A,ZFYVE19"
"GOBP_ACETATE_ESTER_METABOLIC_PROCESS","GOBP_ACETATE_ESTER_METABOLIC_PROCESS","ACHE,BCHE,CHAT,COLQ,SLC44A4,SLC5A7"
"GOBP_ACETATE_ESTER_TRANSPORT","GOBP_ACETATE_ESTER_TRANSPORT","ADORA2A,CHRNA3,SLC17A8,SLC18A3,SLC22A1,SLC22A2,SLC22A4,SLC44A4,TACR2"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","ACAT1,ACLY,ACSS1,ACSS2,DIP2A,DLAT,DLD,MLYCD,MPC2,PDHA1,PDHA2,PDHB,PDHX,PDK1,PDK2,PDK3,PDK4,PPCS"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE","DLAT,DLD,MPC2,PDHA1,PDHA2,PDHB,PDHX,PDK1,PDK2,PDK3,PDK4"
"GOBP_ACETYL_COA_METABOLIC_PROCESS","GOBP_ACETYL_COA_METABOLIC_PROCESS","AADAT,AASS,ACACA,ACACB,ACAT1,ACLY,ACOT12,ACSS1,ACSS2,DIP2A,DLAT,DLD,DLST,HMGCS1,HMGCS2,MLYCD,MPC2,MVD,MVK,NUDT7,NUDT8,PDHA1,PDHA2,PDHB,PDHX,PDK1,PDK2,PDK3,PDK4,PIPOX,PMVK,PPCS,TDO2"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","ABAT,ABCC8,ADORA1,ADORA2A,APBA1,ARL6IP1,ARL6IP5,ATP1A2,AVP,AVPR1A,BEST1,CLN8,DTNBP1,GABBR1,GIPC1,GJA1,GNAT2,GRM1,GRM2,GRM7,ITGB1,KCNJ10,KCNJ8,KMO,NF1,NHERF1,NPY5R,NTRK2,NTSR1,P2RX7,PER2,PRAF2,PRKG1,PSEN1,RAB3GAP1,SLC12A2,SLC17A6,SLC17A7,SLC17A8,SLC1A1,SLC1A2,SLC1A3,SLC1A4,SLC1A6,SLC1A7,SLC25A12,SLC25A13,SLC25A18,SLC25A22,SLC32A1,SLC38A2,SLC38A6,SLC3A1,SLC6A1,SLC6A13,SLC6A6,SLC7A11,SLC7A13,SLC7A14,SNCA,STXBP1,SYT4,TNF,TRH,TRPV1,TTYH1,VPS54"
"GOBP_ACID_SECRETION","GOBP_ACID_SECRETION","ABAT,ABCB11,ABCB4,ACACB,AGXT,APBA1,BEST1,CACNB4,CASR,CCKBR,CES1,CHRM5,DRD2,DRD3,GABBR1,GHRL,HIP1R,HRH2,HTR1B,KCNQ1,MIR33A,NF1,NHERF1,NTSR1,P2RX7,PRKAA1,PTGER3,SCT,SGK1,SLC10A1,SLC22A16,SLC26A6,SLC26A7,SLC51A,SLC51B,SLC6A1,SLC9A4,SNX10,SV2A,TFF2,TNF,TRH,TRPC4,UGT1A3,UMOD"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS","GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS","EQTN,HYAL3,RAB3A,RIMS1,STXBP1,SYT6,UNC13B,ZP3,ZP4"
"GOBP_ACROSOME_ASSEMBLY","GOBP_ACROSOME_ASSEMBLY","ACRBP,ACTL7A,ACTL9,AGFG1,CCDC136,CCDC38,CCDC42,GARIN1A,GARIN1B,KNL1,MFSD14A,NECTIN2,PAFAH1B1,PDCL2,PFN4,PLA2G3,PLN,RFX2,SLC9A8,SOX30,SPACA1,SPINK2,SPPL2C,TBC1D20,TBPL1,TMF1,TMPRSS12,VPS13B,ZPBP,ZPBP2"
"GOBP_ACROSOME_REACTION","GOBP_ACROSOME_REACTION","ABHD2,ACR,ADCY3,AKAP3,B4GALT1,CACNA1H,CCDC87,CRISP1,EQTN,FAM170B,GARIN1B,GLRA1,GLRB,HVCN1,HYAL3,IFTAP,IQCF1,PCSK4,PKDREJ,PLA2G10,PLB1,PLCB1,PLCD4,PRND,PRSS37,RAB3A,RIMS1,ROPN1B,SERPINA10,SPESP1,SPINK1,SPINK13,STX2,STXBP1,SYT6,TNP2,TRIM36,UNC13B,ZP2,ZP3,ZP4"
"GOBP_ACTIN_CROSSLINK_FORMATION","GOBP_ACTIN_CROSSLINK_FORMATION","AIF1,BAIAP2,BAIAP2L1,BAIAP2L2,DIAPH3,DPYSL3,EPS8,FLNA,GAS2,GAS2L1,GAS2L2,GAS2L3,LCP1,MARCKS"
"GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","ACTN4,FNBP1L,MYO19,MYO1C,MYO5A,MYO5B,MYO5C,SUN2,SYNE2,WASL"
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","ACTN2,ADD1,ADD2,ADD3,AVIL,CAPG,CAPZA1,CAPZA2,CAPZA3,CAPZB,CARMIL1,CARMIL2,CFL1,CFL2,CRACD,DMTN,DSTN,EPS8,F2RL1,FLII,GSN,LIMA1,LMOD1,LMOD2,LMOD3,MICAL1,MICAL2,MICAL3,MTPN,PDXP,PIK3CA,PLEK,PLEKHH2,PPP1R9B,RDX,SCIN,SEMA5A,SH3BP1,SPTA1,SPTAN1,SPTB,SPTBN1,SPTBN2,SPTBN4,SPTBN5,SVIL,SWAP70,TMOD1,TMOD2,TMOD3,TMOD4,TRIOBP,TWF1,TWF2,VIL1,VILL,WASHC2C,WDR1"
"GOBP_ACTIN_FILAMENT_NETWORK_FORMATION","GOBP_ACTIN_FILAMENT_NETWORK_FORMATION","ACTN1,CARMIL1,CARMIL2,COBL,LCP1,PLS1,PLS3,SPIRE1,SPIRE2"
"GOBP_ACTIN_FILAMENT_SEVERING","GOBP_ACTIN_FILAMENT_SEVERING","AVIL,CAPG,CFL1,CFL2,DSTN,FLII,FMNL1,GMFB,GMFG,GSN,MYH9,SCIN,SRGAP2,SVIL,VIL1,VILL"
"GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING","GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING","ACTC1,MYBPC3,MYH2,MYH3,MYH4,MYH6,MYH7,MYH8,MYL1,MYL11,MYL6,MYL6B,MYLK2,TNNC1,TNNT2,TPM1"
"GOBP_ACTIN_NUCLEATION","GOBP_ACTIN_NUCLEATION","ABI2,ACTR2,ACTR3,AP1AR,ARF1,ARFIP1,ARFIP2,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,ARPIN,BRK1,CARMIL1,CARMIL2,CARMIL3,CORO1A,CORO1B,CTNNA2,CYFIP1,DIAPH3,DNAI3,FCHSD2,FMN1,GMFB,GMFG,GSN,HIP1R,IQGAP2,JMY,LMOD1,LMOD2,LMOD3,MAGEL2,NCKAP1,PICK1,RNH1,SCIN,SPIRE1,SPIRE2,TRIM27,VIL1,WASF1,WASF2,WASF3,WASH3P,WASH6P,WASHC1,WASHC2A,WASHC2C,WASHC3,WASHC4,WASHC5,WHAMM,WIPF3"
"GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY","GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY","ACTR3,ARPC2,ARPC3,ENAH,EPS8,JMY,NCKAP1L"
"GOBP_ACTIVATED_T_CELL_PROLIFERATION","GOBP_ACTIVATED_T_CELL_PROLIFERATION","ABL1,AGER,ARG1,BTN2A2,BTN3A1,CADM1,CASP3,CD24,CD274,CLC,CRTAM,EPO,FADD,FOXP3,FYN,GPAM,HHLA2,HMGB1,ICOSLG,IDO1,IGF1,IGF2,IGFBP2,IL12B,IL12RB1,IL18,IL2,IL23A,IL23R,IL2RA,LGALS9,LILRB4,LRRC32,MIR181C,MIR21,MIR30B,PDCD1LG2,PPP3CA,PRKAR1A,PRNP,PYCARD,RC3H1,RIPK3,RPS3,SCRIB,SLAMF1,STAT5B,TMIGD2,TNFSF9"
"GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS","GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS","AKT1,DNAJA3,FADD,FAS,GPAM,IL2RA,RIPK3,RPS6,TSC22D3"
"GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY","GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY","ACR,ADCYAP1,ADORA2B,ADORA3,AVPR2,CALCR,CAP1,CAP2,CRHR1,DRD1,DRD5,EDNRA,FSHR,GIPR,GLP1R,LGR4,LGR5,LHCGR,P2RY11,RAF1,RXFP1,RXFP2,TMIGD3,TSHR"
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","ASPH,BAD,BAK1,CASP8,CYFIP2,FADD,GRIN2A,IFI16,LGMN,NLRC4,PERP,RIPK2,TBC1D10A"
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS","ACER2,AIFM1,ANP32B,APAF1,ATP2A3,BAD,BAK1,BAX,BBC3,BCL2,BCL2A1,BCL2L1,BCL2L10,BCL2L13,BCL2L2,BID,BOK,CARD8,CASP10,CASP2,CASP8,CASP8AP2,CASP9,COL4A3,CRADD,DAP,DIABLO,DLC1,EGLN3,EIF2AK3,F2R,F3,FAM162A,FASLG,HIP1,HIP1R,HSPD1,HSPE1,IFT57,JAK2,KHDC1,KHDC1L,LAPTM5,LCK,MAPT,MCL1,MIR15A,MTCH1,MUL1,NGFR,NKX3-1,NLRP1,NLRP12,NOD1,PDCD2,PIDD1,PPARG,PYCARD,RACK1,ROBO1,RPS27L,S100A8,S100A9,SENP1,SLC22A2,SMAD3,SNCA,ST20,TNF,TNFSF15,VCP,XDH"
"GOBP_ACTIVATION_OF_GTPASE_ACTIVITY","GOBP_ACTIVATION_OF_GTPASE_ACTIVITY","ABR,AGAP1,AGAP11,AGAP2,AGAP3,AGAP4,AGAP5,AGAP6,AGAP7P,AGAP9,APC2,ARHGAP22,ARHGAP24,ARHGAP25,ARHGAP29,ARHGAP42,ARHGAP45,ARHGEF10,ARHGEF15,ARHGEF16,ARHGEF19,ARHGEF26,ARHGEF5,BCR,CCDC125,CORO1C,CXCL13,DOCK7,ECT2,EPHA1,EPHA2,EVI5,EVI5L,FOXJ1,GMIP,GPR65,GRTP1,MTSS2,NGEF,NTF3,NTRK3,PIP5K1A,RALGAPA1,RALGAPA2,RALGAPB,RANGAP1,RASGRF1,RASGRP1,RHOG,SCRIB,SGSM1,SGSM2,SGSM3,SIPA1L1,SLC27A4,SYDE1,SYDE2,TAX1BP3,TBC1D1,TBC1D10A,TBC1D10B,TBC1D10C,TBC1D12,TBC1D13,TBC1D14,TBC1D15,TBC1D16,TBC1D17,TBC1D2,TBC1D21,TBC1D22A,TBC1D22B,TBC1D25,TBC1D26,TBC1D2B,TBC1D3,TBC1D30,TBC1D3B,TBC1D3C,TBC1D3D,TBC1D3E,TBC1D3F,TBC1D3G,TBC1D3H,TBC1D3I,TBC1D3K,TBC1D3L,TBC1D4,TBC1D5,TBC1D7,TBC1D8,TBC1D8B,TBC1D9,TBC1D9B,TBCK,TIAM1,TIAM2,TSC1,USP6NL"
"GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY","GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY","AGT,CCL5,CD300A,GH1,IL12B,IL23A,IL23R,IL4,IL6R,JAK2,PIBF1,PRLR,PTK2B"
"GOBP_ACTIVATION_OF_MEIOSIS","GOBP_ACTIVATION_OF_MEIOSIS","MEIOSIN,MSX1,MSX2,NPR2,PLCB1,STRA8"
"GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY","GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY","CARD10,CARD14,CHI3L1,COPS8,TLR3,TLR6,TNFRSF10A,TNFRSF10B,TNFSF15,ZFP91"
"GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY","GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY","ADRA1A,ANG,ARHGAP6,AVPR1A,AVPR1B,C5AR1,CD86,EGFR,GNA15,GNAQ,GPR55,HTR2A,HTR2B,ITK,LPAR1,LPAR2,P2RY6,PHB1,PHB2,PLCB2,PTH,S1PR4,SELE,TXK"
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY","GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY","ABL1,ADCY8,ADRA2A,ADRA2B,ADRA2C,ADRB2,AGT,ANG,ANGPT1,AXIN1,BORA,CALCA,CARD10,CARD14,CCDC88A,CCL5,CD300A,CD86,CHI3L1,CHRNA3,CLSPN,COPS8,DYNAP,ECT2,EMP2,FGF1,GAS6,GH1,IGF1,IL12B,IL23A,IL23R,IL4,IL6R,INS,INSR,ITGB1BP1,ITGB3,JAK2,KIF14,LEP,MARK2,MT3,NRG1,NTF3,NTRK3,PARK7,PDPK1,PHB1,PHB2,PIBF1,PILRB,PINK1,PPIA,PRKCD,PRLR,PRRC1,PTK2B,RIPK3,SLC11A1,STK11,STRADA,STRADB,TAOK2,TGFB2,TGFBR2,TLR3,TLR6,TNFRSF10A,TNFRSF10B,TNFSF15,TOM1L1,TPX2,TRAF6,TXN,WNT5A,ZFP91"
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY","GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY","ADRA2A,ADRA2B,ADRA2C,ANG,DYNAP,FGF1,GAS6,IGF1,INS,INSR,ITGB1BP1,MT3,NRG1,NTF3,NTRK3,PARK7,PDPK1,PINK1,PPIA,TXN,WNT5A"
"GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY","GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY","ADRB2,ANGPT1,CHRNA3,NRG1,PILRB,PRLR"
"GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY","GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY","ACVR1,ACVR1B,ACVR1C,ACVR2A,ACVR2B,ACVRL1,BMP10,BMPR2,CER1,CFC1,CFC1B,CITED2,CRIPTO,CRIPTO3,CSNK2B,DACT1,DACT2,DAND5,DMRT1,FGF10,FGF9,FKBP1A,FOXH1,FST,FSTL3,GDF11,GDF2,GDF6,GDF7,HJV,IGSF1,INHBA,INHBB,LEMD3,MAGI2,NCLN,NODAL,NOG,NOMO1,NOMO3,SKI,SMAD2,SMAD3,SMAD4,SMAD6,SMAD7,SMURF1,TGFBR1,TGFBR2,TGIF2,WIF1,ZC3H3"
"GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION","GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION","ANLN,ECT2,IQGAP1,IQGAP2,IQGAP3,PDCD6IP,PLEC,RACGAP1,RTKN,VPS4A"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS","GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS","A2M,BTK,C3,CCR7,CD6,CNR1,ELANE,EXT1,FCER1A,FCGR1A,FCGR1BP,FCGR2A,FCGR2B,FCGR2C,FCGR3A,FCGR3B,FUT7,HLA-E,IGHG1,IL20RB,IL31RA,MIR302E,NLRP6,NPY5R,PARK7,PLA2G2D,SELENOS,SPN,ZP3"
"GOBP_ACUTE_PHASE_RESPONSE","GOBP_ACUTE_PHASE_RESPONSE","A2M,AHSG,APCS,APOL2,ASS1,CD163,CEBPB,CNR1,CRP,EDNRB,EPO,F2,F8,FN1,HP,IL1A,IL1B,IL22,IL6,IL6R,INS,ITIH4,LBP,MBL2,MRGPRX1,ORM1,ORM2,PLSCR1,PTGER3,PTGES,PTGS2,REG3A,REG3G,SAA1,SAA2,SAA4,SERPINA1,SERPINA3,SERPINF2,SIGIRR,TFR2,TFRC,TNF,TNFRSF11A,TNFSF11,TRPV1,UGT1A1"
"GOBP_ACYLGLYCEROL_HOMEOSTASIS","GOBP_ACYLGLYCEROL_HOMEOSTASIS","ABCG5,ABCG8,ACSM2A,ADORA1,ANGPTL3,ANGPTL4,ANGPTL8,APOA1,APOA4,APOA5,APOC2,APOC3,APOC4,APOE,C1QTNF3,CETP,DGAT2,FITM2,FUNDC2,GCKR,GIP,GPIHBP1,HNF4A,IL18,LDAH,LIPC,LPL,MED13,MIR208A,MIR33A,MIR34A,MIR379,MLXIPL,MTLN,NR1H3,NR1H4,PLA2G12B,PNPLA2,PNPLA8,RORA,SCARB1,SESN2,SIRT1,SLC25A27,XBP1"
"GOBP_ACYLGLYCEROL_TRANSPORT","GOBP_ACYLGLYCEROL_TRANSPORT","APOH,CD36,CETP,DENND5B,LPCAT3,MIR30C1,MTTP,PRAP1"
"GOBP_ACYL_COA_METABOLIC_PROCESS","GOBP_ACYL_COA_METABOLIC_PROCESS","AADAT,AASS,ABCD1,ACACA,ACACB,ACAT1,ACLY,ACOT1,ACOT11,ACOT12,ACOT2,ACOT4,ACOT6,ACOT7,ACOT8,ACOT9,ACSBG1,ACSBG2,ACSF2,ACSF3,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,ACSM1,ACSM2A,ACSM2B,ACSM3,ACSM4,ACSM5,ACSM6,ACSS1,ACSS2,BAAT,DGAT1,DGAT2,DIP2A,DLAT,DLD,DLST,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,ENSG00000293349,FAR1,FAR2,FITM2,GCDH,GLYAT,GPAM,GPAT4,HACD1,HACD2,HMGCS1,HMGCS2,HSD17B12,HSD17B4,HTD2,MCEE,MLYCD,MMUT,MPC2,MVD,MVK,NUDT19,NUDT7,NUDT8,OGDH,OXSM,PDHA1,PDHA2,PDHB,PDHX,PDK1,PDK2,PDK3,PDK4,PIPOX,PMVK,PPCS,PPT1,PPT2,SLC25A1,SLC27A2,SNCA,SUCLA2,SUCLG1,SUCLG2,TDO2,TECR,THEM5"
"GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE","GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE","CD160,CD27,CD70,CD81,EBAG9,TNFRSF14"
"GOBP_ADENINE_TRANSPORT","GOBP_ADENINE_TRANSPORT","SLC25A4,SLC25A5,SLC29A1,SLC29A2,SLC43A3,VDAC3"
"GOBP_ADENOHYPOPHYSIS_DEVELOPMENT","GOBP_ADENOHYPOPHYSIS_DEVELOPMENT","BMP2,DRD2,FGF2,FGF8,GATA2,GHRH,GHRHR,GSX1,HES1,LHX3,PITX2,POU1F1,PROP1,SLC6A3,SOX2,WNT4"
"GOBP_ADENOSINE_METABOLIC_PROCESS","GOBP_ADENOSINE_METABOLIC_PROCESS","ACP3,ADA,ADA2,ADAL,BLOC1S6,NT5C1A,NT5C1B,NT5C2,NT5E,PTGDR,XDH"
"GOBP_ADENOSINE_TO_INOSINE_EDITING","GOBP_ADENOSINE_TO_INOSINE_EDITING","ADAD1,ADAD2,ADAR,ADARB1,ADARB2,ADAT2"
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY","ADCY9,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3,AKAP13,ARRDC3,ATP2B4,CHGA,CRTC3,DRD1,DRD2,DRD3,DRD5,GNAI2,GPR101,PDE4B,PLN,RAPGEF2"
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY","ADCY5,DRD1,DRD3,DRD5,GNAL,GNAS,GNB1,GNG2,NHERF1,PTGER1"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY","ADCY5,DRD2,DRD3,DRD4,FLNA,PRMT5"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY","CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,HRH3,HRH4,OPRM1"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY","GRIK3,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","ADCY2,ADCY4,ADCY5,ADCY6,ADCY7,ADORA1,ADRA2A,AKAP12,AKAP5,CASR,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CORT,DRD2,DRD3,DRD4,EDN1,EDNRA,FFAR3,FLNA,FPR2,GABBR1,GABBR2,GNAI1,GNAI2,GNAI3,GNAZ,GPR176,GPR37,GPR37L1,GRIK3,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,HRH3,HRH4,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR5A,INSL3,ITGB3,LPAR1,MARCO,MCHR1,MIR133A1,MIR30E,MTNR1A,NPY1R,NPY2R,OPRD1,OPRK1,OPRL1,OPRM1,OXER1,P2RY1,P2RY12,PALM,PDE2A,PRMT5,PSAP,PSAPL1,PTGDR2,RGS1,RGS2,RIC8A,RXFP2,S1PR1,S1PR3,SSTR2"
"GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY","DRD4,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR5A"
"GOBP_ADHERENS_JUNCTION_ASSEMBLY","GOBP_ADHERENS_JUNCTION_ASSEMBLY","ACTB,CTNNB1,DLG5,FER,HIPK1,JAM3,PAK2,PIP5K1C,RAMP2,SMAD7,TBCD,VCL,ZNF703"
"GOBP_ADHERENS_JUNCTION_MAINTENANCE","GOBP_ADHERENS_JUNCTION_MAINTENANCE","CAMSAP3,FERMT2,INAVA,KIFC3,MTSS1,PLEKHA7,TJP1"
"GOBP_ADHERENS_JUNCTION_ORGANIZATION","GOBP_ADHERENS_JUNCTION_ORGANIZATION","ACTB,ADAM10,ADD1,BMP6,CAMSAP3,CDC42,CDH1,CDH10,CDH11,CDH12,CDH13,CDH15,CDH17,CDH18,CDH19,CDH2,CDH20,CDH22,CDH24,CDH26,CDH3,CDH4,CDH5,CDH6,CDH7,CDH8,CDH9,CDHR3,CSK,CTNNB1,DLG5,DSP,EFNB2,EPHA4,FER,FERMT2,HIPK1,INAVA,JAM3,KIFC3,MTSS1,NUMB,NUMBL,PAK2,PIP5K1C,PLEC,PLEKHA7,PTPN23,RAMP2,RDX,SMAD7,SRC,TBCD,TJP1,VCL,VEGFA,ZNF703"
"GOBP_ADHESION_OF_SYMBIONT_TO_HOST","GOBP_ADHESION_OF_SYMBIONT_TO_HOST","ACE2,BPIFA1,CD209,CLEC4M,DPP4,GAS6,HSP90AB1,HSPD1,ICAM1,INHBB,LRRC15,LTF,NECTIN2,SCARB1"
