drugbank_id,drug_name,type,drug_FDA,uniprot_id,target_name,gene_name
DB00055,Drotrecogin alfa,biotech,approved,P02776,Platelet factor 4,PF4
DB00055,Drotrecogin alfa,biotech,approved,P05154,Plasma serine protease inhibitor,SERPINA5
DB00055,Drotrecogin alfa,biotech,approved,P35237,Serpin B6,SERPINB6
DB00055,Drotrecogin alfa,biotech,approved,Q9UNN8,Endothelial protein C receptor,PROCR
DB00056,Gemtuzumab ozogamicin,biotech,approved,P20138,Myeloid cell surface antigen CD33,CD33
DB00056,Gemtuzumab ozogamicin,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00056,Gemtuzumab ozogamicin,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00056,Gemtuzumab ozogamicin,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00058,Alpha-1-proteinase inhibitor,biotech,approved,P08246,Neutrophil elastase,ELANE
DB00060,Interferon beta-1a,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00060,Interferon beta-1a,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00061,Pegademase,biotech,approved,P62993,Growth factor receptor-bound protein 2,GRB2
DB00063,Eptifibatide,biotech,approved,P05106,Integrin beta-3,ITGB3
DB00065,Infliximab,biotech,approved,P01375,Tumor necrosis factor,TNF
DB00066,Follitropin,biotech,approved,P23945,Follicle-stimulating hormone receptor,FSHR
DB00067,Vasopressin,small molecule,approved,P30518,Vasopressin V2 receptor,AVPR2
DB00067,Vasopressin,small molecule,approved,P37288,Vasopressin V1a receptor,AVPR1A
DB00067,Vasopressin,small molecule,approved,P47901,Vasopressin V1b receptor,AVPR1B
DB00067,Vasopressin,small molecule,approved,P30559,Oxytocin receptor,OXTR
DB00068,Interferon beta-1b,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00068,Interferon beta-1b,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00069,Interferon alfacon-1,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00069,Interferon alfacon-1,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00070,Hyaluronidase (ovine),biotech,approved,P01137,Transforming growth factor beta-1,TGFB1
DB00071,Insulin pork,biotech,approved,P06213,Insulin receptor,INSR
DB00071,Insulin pork,biotech,approved,P08069,Insulin-like growth factor 1 receptor,IGF1R
DB00072,Trastuzumab,biotech,approved,P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2
DB00073,Rituximab,biotech,approved,P11836,B-lymphocyte antigen CD20,MS4A1
DB00074,Basiliximab,biotech,approved,P01589,Interleukin-2 receptor subunit alpha,IL2RA
DB00074,Basiliximab,biotech,approved,P14784,Interleukin-2 receptor subunit beta,IL2RB
DB00075,Muromonab,biotech,approved,P04234,T-cell surface glycoprotein CD3 delta chain,CD3D
DB00075,Muromonab,biotech,approved,P07766,T-cell surface glycoprotein CD3 epsilon chain,CD3E
DB00075,Muromonab,biotech,approved,P09693,T-cell surface glycoprotein CD3 gamma chain,CD3G
DB00075,Muromonab,biotech,approved,P20963,T-cell surface glycoprotein CD3 zeta chain,CD247
DB00075,Muromonab,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00078,Ibritumomab tiuxetan,biotech,approved,P11836,B-lymphocyte antigen CD20,MS4A1
DB00081,Tositumomab,biotech,approved,P11836,B-lymphocyte antigen CD20,MS4A1
DB00081,Tositumomab,biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00082,Pegvisomant,biotech,approved,P10912,Growth hormone receptor,GHR
DB00083,Botulinum toxin type A,biotech,approved,P60880,Synaptosomal-associated protein 25,SNAP25
DB00083,Botulinum toxin type A,biotech,approved,P62745,Rho-related GTP-binding protein RhoB,RHOB
DB00086,Streptokinase,biotech,approved,P00747,Plasminogen,PLG
DB00086,Streptokinase,biotech,approved,P25116,Proteinase-activated receptor 1,F2R
DB00087,Alemtuzumab,biotech,approved,P31358,CAMPATH-1 antigen,CD52
DB00087,Alemtuzumab,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00087,Alemtuzumab,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00087,Alemtuzumab,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00087,Alemtuzumab,biotech,approved,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A
DB00087,Alemtuzumab,biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00087,Alemtuzumab,biotech,approved,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C
DB00089,Capromab pendetide,biotech,approved,Q04609,Glutamate carboxypeptidase 2,FOLH1
DB00091,Cyclosporine,small molecule,approved,P49069,Calcium signal-modulating cyclophilin ligand,CAMLG
DB00091,Cyclosporine,small molecule,approved,Q96LZ3,Calcineurin subunit B type 2,PPP3R2
DB00091,Cyclosporine,small molecule,approved,P62937,Peptidyl-prolyl cis-trans isomerase A,PPIA
DB00091,Cyclosporine,small molecule,approved,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF
DB00092,Alefacept,biotech,approved,P06729,T-cell surface antigen CD2,CD2
DB00092,Alefacept,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00092,Alefacept,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00093,Felypressin,biotech,experimental,P37288,Vasopressin V1a receptor,AVPR1A
DB00094,Urofollitropin,biotech,approved,P23945,Follicle-stimulating hormone receptor,FSHR
DB00095,Efalizumab,biotech,approved,P20702,Integrin alpha-X,ITGAX
DB00095,Efalizumab,biotech,approved,P20701,Integrin alpha-L,ITGAL
DB00097,Choriogonadotropin alfa,biotech,approved,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR
DB00097,Choriogonadotropin alfa,biotech,approved,P23945,Follicle-stimulating hormone receptor,FSHR
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,Q95460,Major histocompatibility complex class I-related gene protein,MR1
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P20701,Integrin alpha-L,ITGAL
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P42081,T-lymphocyte activation antigen CD86,CD86
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P01730,T-cell surface glycoprotein CD4,CD4
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P05556,Integrin beta-1,ITGB1
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P06756,Integrin alpha-V,ITGAV
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P05106,Integrin beta-3,ITGB3
DB00098,Antithymocyte immunoglobulin (rabbit),biotech,approved,P06126,T-cell surface glycoprotein CD1a,CD1A
DB00099,Filgrastim,biotech,approved,Q99062,Granulocyte colony-stimulating factor receptor,CSF3R
DB00100,Coagulation Factor IX (Recombinant),biotech,approved,P00742,Coagulation factor X,F10
DB00100,Coagulation Factor IX (Recombinant),biotech,approved,P03951,Coagulation factor XI,F11
DB00100,Coagulation Factor IX (Recombinant),biotech,approved,P08709,Coagulation factor VII,F7
DB00100,Coagulation Factor IX (Recombinant),biotech,approved,P00451,Coagulation factor VIII,F8
DB00100,Coagulation Factor IX (Recombinant),biotech,approved,P00734,Prothrombin,F2
DB00100,Coagulation Factor IX (Recombinant),biotech,approved,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1
DB00100,Coagulation Factor IX (Recombinant),biotech,approved,P38435,Vitamin K-dependent gamma-carboxylase,GGCX
DB00102,Becaplermin,biotech,approved,P09619,Platelet-derived growth factor receptor beta,PDGFRB
DB00102,Becaplermin,biotech,approved,P16234,Platelet-derived growth factor receptor alpha,PDGFRA
DB00102,Becaplermin,biotech,approved,P01023,Alpha-2-macroglobulin,A2M
DB00105,Interferon alfa-2b,biotech,approved,P48551,Interferon alpha/beta receptor 2,IFNAR2
DB00105,Interferon alfa-2b,biotech,approved,P17181,Interferon alpha/beta receptor 1,IFNAR1
DB00106,Abarelix,small molecule,approved,P30968,Gonadotropin-releasing hormone receptor,GNRHR
DB00107,Oxytocin,biotech,approved,P30559,Oxytocin receptor,OXTR
DB00108,Natalizumab,biotech,approved,P13612,Integrin alpha-4,ITGA4
DB00108,Natalizumab,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00108,Natalizumab,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00108,Natalizumab,biotech,approved,P05362,Intercellular adhesion molecule 1,ICAM1
DB00110,Palivizumab,biotech,approved,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00110,Palivizumab,biotech,approved,P00736,Complement C1r subcomponent,C1R
DB00110,Palivizumab,biotech,approved,P02745,Complement C1q subcomponent subunit A,C1QA
DB00110,Palivizumab,biotech,approved,P02746,Complement C1q subcomponent subunit B,C1QB
DB00110,Palivizumab,biotech,approved,P02747,Complement C1q subcomponent subunit C,C1QC
DB00110,Palivizumab,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00110,Palivizumab,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00110,Palivizumab,biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00111,Daclizumab,biotech,investigational,P01589,Interleukin-2 receptor subunit alpha,IL2RA
DB00111,Daclizumab,biotech,investigational,P14784,Interleukin-2 receptor subunit beta,IL2RB
DB00111,Daclizumab,biotech,investigational,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B
DB00111,Daclizumab,biotech,investigational,P00736,Complement C1r subcomponent,C1R
DB00111,Daclizumab,biotech,investigational,P02745,Complement C1q subcomponent subunit A,C1QA
DB00111,Daclizumab,biotech,investigational,P02746,Complement C1q subcomponent subunit B,C1QB
DB00111,Daclizumab,biotech,investigational,P02747,Complement C1q subcomponent subunit C,C1QC
DB00111,Daclizumab,biotech,investigational,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00111,Daclizumab,biotech,investigational,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00111,Daclizumab,biotech,investigational,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A
DB00111,Daclizumab,biotech,investigational,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00111,Daclizumab,biotech,investigational,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C
DB00112,Bevacizumab,biotech,approved,P15692,Vascular endothelial growth factor A,VEGFA
DB00112,Bevacizumab,biotech,approved,P02745,Complement C1q subcomponent subunit A,C1QA
DB00112,Bevacizumab,biotech,approved,P02746,Complement C1q subcomponent subunit B,C1QB
DB00112,Bevacizumab,biotech,approved,P02747,Complement C1q subcomponent subunit C,C1QC
DB00112,Bevacizumab,biotech,approved,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A
DB00112,Bevacizumab,biotech,approved,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
DB00112,Bevacizumab,biotech,approved,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A
DB00112,Bevacizumab,biotech,approved,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B
DB00112,Bevacizumab,biotech,approved,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C
DB00113,Technetium Tc-99m arcitumomab,biotech,experimental,P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,CEACAM1
DB00114,Pyridoxal phosphate,small molecule,approved,Q9BYV1,"Alanine--glyoxylate aminotransferase 2, mitochondrial",AGXT2
DB00114,Pyridoxal phosphate,small molecule,approved,Q99259,Glutamate decarboxylase 1,GAD1
DB00114,Pyridoxal phosphate,small molecule,approved,P35520,Cystathionine beta-synthase,CBS
DB00114,Pyridoxal phosphate,small molecule,approved,Q16719,Kynureninase,KYNU
DB00114,Pyridoxal phosphate,small molecule,approved,P34896,"Serine hydroxymethyltransferase, cytosolic",SHMT1
DB00114,Pyridoxal phosphate,small molecule,approved,Q9Y697,"Cysteine desulfurase, mitochondrial",NFS1
DB00114,Pyridoxal phosphate,small molecule,approved,P17174,"Aspartate aminotransferase, cytoplasmic",GOT1
DB00114,Pyridoxal phosphate,small molecule,approved,P04181,"Ornithine aminotransferase, mitochondrial",OAT
DB00114,Pyridoxal phosphate,small molecule,approved,P11926,Ornithine decarboxylase,ODC1
DB00114,Pyridoxal phosphate,small molecule,approved,Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",AADAT
DB00114,Pyridoxal phosphate,small molecule,approved,P80404,"4-aminobutyrate aminotransferase, mitochondrial",ABAT
DB00114,Pyridoxal phosphate,small molecule,approved,Q9NVS9,Pyridoxine-5'-phosphate oxidase,PNPO
DB00114,Pyridoxal phosphate,small molecule,approved,O95470,Sphingosine-1-phosphate lyase 1,SGPL1
